FIRE;;;;;;;;;;;;;;;;;NOFIRE;;;;;;;;;;;;;;;
imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;Coluna1;;imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;Coluna1
3;73;22;50,707;59,054;23,198;37,379;43,706;47,252;85,216;69,538;1,95;3,673;1,472;1,86;0,849233513;;2;48;7;7,111;1,257;7,027;0,424;5,973;0,578;8,333;1,198;1,395;1,186;2,074;2,823;0,953062848
2;62;45;66,329;58,444;27,949;13,665;48,47;37,518;122,566;60,813;2,529;4,385;1,621;4,45;0,961044514;;5;0;36;43,525;33,791;24,07;18,451;30,763;21,672;75,742;32,189;2,462;3,147;1,485;1,745;0,952590927
5;42;216;192,127;58,312;115,251;26,85;215,133;10,248;245,997;5,827;1,143;2,134;0,569;0,217;10,00720783;;5;68;33;41,984;35,471;18,064;17,167;31,029;20,883;76,859;33,693;2,477;4,255;1,613;1,963;0,949874545
5;45;81;92,142;57,444;29,061;8,532;82,904;12,319;164,461;19,504;1,984;5,659;1,583;2,286;2,945242002;;3;82;104;108,857;40,833;77,157;29,464;123,915;33,569;125,499;38,709;1,013;1,627;1,153;1,314;0,947983249
5;62;227;199,431;56,915;135,758;53,504;226,005;23,808;236,53;12,319;1,047;1,742;0,517;0,23;4,620099034;;4;93;102;99,598;49,209;60,323;27,785;107,294;41,457;131,176;46,636;1,223;2,175;1,125;1,678;0,947712817
1;75;199;184,656;56,659;117,704;17,952;193,493;33,513;242,771;15,722;1,255;2,063;0,469;0,876;3,603803587;;3;36;82;87,382;41,637;64,91;36,076;101,04;39,776;96,197;39,345;0,952;1,482;0,989;1,091;0,944952806
2;97;46;63,499;56,517;39,36;17,734;61,957;54,181;89,179;71,33;1,439;2,266;1,317;4,022;0,792331417;;5;19;58;69,154;54,844;32,262;28,575;54,651;36,274;120,549;51,754;2,206;3,737;1,427;1,811;0,943658376
2;57;42;65,871;55,24;19,325;13,231;52,92;37,434;125,37;41,274;2,369;6,487;1,103;3,119;1,338372826;;1;93;39;42,045;13,071;31,259;7,489;49,312;11,11;45,565;12,309;0,924;1,458;1,108;1,644;0,941703007
5;17;136;142,644;55,059;81,614;10,804;135,115;12,462;211,202;18,462;1,563;2,588;1,481;1,709;2,982287943;;3;47;107;113,165;48,605;85,491;42,452;129,542;45,195;124,462;45,617;0,961;1,456;1,009;1,075;0,938524843
1;20;94;99,852;54,555;85,538;49,228;101,787;52,388;112,232;58,301;1,103;1,312;1,113;1,184;0,935747243;;3;16;111;113,011;44,625;89,293;40,443;127,981;41,698;121,76;41,674;0,951;1,364;0,999;1,03;0,933871148
