"index";"mediana";"mean global";"desvio";"mean blue";"desv blue";"mean green";"desv green";"mean red";"desv red";"R/G mean";"R/B mean";"R/G desv";"R/B desv"
240;"225,000";"219,903";"14,550";"201,450";"7,289";"229,390";"5,318";"228,870";"6,540";"0,998";"1,136";"1,230";"31,400"
241;"226,000";"222,390";"15,129";"203,680";"4,223";"232,110";"5,591";"231,380";"10,594";"0,997";"1,136";"1,895";"54,784"
242;"225,000";"222,180";"15,629";"204,100";"8,047";"232,060";"7,881";"230,380";"10,685";"0,993";"1,129";"1,356";"28,630"
243;"225,500";"221,283";"13,132";"205,630";"5,364";"231,700";"5,721";"226,520";"8,652";"0,978";"1,102";"1,512";"42,229"
244;"221,000";"218,143";"11,278";"203,940";"3,325";"228,500";"4,353";"221,990";"5,268";"0,972";"1,089";"1,210";"66,762"
245;"221,000";"217,720";"10,494";"204,730";"4,181";"226,950";"4,085";"221,480";"5,302";"0,976";"1,082";"1,298";"52,979"
246;"220,000";"215,730";"12,407";"200,430";"6,075";"224,830";"5,187";"221,930";"6,529";"0,987";"1,107";"1,259";"36,532"
247;"215,000";"213,313";"13,918";"196,760";"5,046";"221,660";"6,461";"221,520";"10,143";"0,999";"1,126";"1,570";"43,900"
248;"218,000";"215,750";"16,198";"195,460";"5,452";"224,420";"6,920";"227,370";"9,361";"1,013";"1,163";"1,353";"41,701"
249;"222,000";"217,223";"18,381";"194,320";"7,263";"225,990";"8,756";"231,360";"9,103";"1,024";"1,191";"1,040";"31,853"
250;"48,000";"49,597";"13,260";"39,680";"8,809";"60,230";"10,196";"48,880";"11,576";"0,812";"1,232";"1,135";"5,549"
251;"50,000";"50,600";"12,777";"41,370";"8,235";"61,290";"9,830";"49,140";"11,123";"0,802";"1,188";"1,132";"5,967"
252;"52,000";"53,353";"9,658";"45,170";"5,568";"64,120";"5,469";"50,770";"5,418";"0,792";"1,124";"0,991";"9,118"
253;"56,000";"57,897";"9,292";"50,180";"3,793";"68,440";"5,818";"55,070";"5,663";"0,805";"1,097";"0,973";"14,518"
254;"58,000";"60,283";"10,178";"52,920";"4,787";"70,720";"7,482";"57,210";"7,700";"0,809";"1,081";"1,029";"11,952"
255;"62,000";"62,897";"10,506";"54,450";"6,238";"72,940";"6,809";"61,300";"8,430";"0,840";"1,126";"1,238";"9,828"
256;"66,000";"65,453";"13,332";"54,890";"10,080";"74,980";"10,651";"66,490";"10,715";"0,887";"1,211";"1,006";"6,597"
257;"61,000";"60,667";"11,439";"53,590";"9,459";"68,050";"9,646";"60,360";"10,262";"0,887";"1,126";"1,064";"6,381"
258;"61,000";"61,053";"20,919";"57,810";"20,356";"67,580";"19,746";"57,770";"21,086";"0,855";"0,999";"1,068";"2,838"
259;"82,000";"88,513";"30,364";"85,010";"30,404";"93,580";"29,795";"86,950";"30,221";"0,929";"1,023";"1,014";"2,860"
260;"95,000";"118,570";"53,215";"114,320";"48,431";"123,510";"54,717";"117,880";"55,795";"0,954";"1,031";"1,020";"2,434"
261;"106,000";"138,510";"55,803";"136,570";"49,341";"142,600";"57,402";"136,360";"59,894";"0,956";"0,998";"1,043";"2,764"
262;"137,000";"134,807";"31,361";"141,880";"28,522";"135,610";"30,402";"126,930";"33,167";"0,936";"0,895";"1,091";"4,450"
263;"152,000";"143,447";"24,329";"153,260";"23,865";"142,340";"22,136";"134,740";"23,299";"0,947";"0,879";"1,053";"5,646"
264;"158,000";"165,753";"28,843";"170,000";"20,629";"167,490";"29,878";"159,770";"33,477";"0,954";"0,940";"1,120";"7,745"
265;"202,000";"200,170";"32,731";"188,070";"21,959";"207,120";"33,373";"205,320";"37,372";"0,991";"1,092";"1,120";"9,350"
266;"226,000";"213,307";"27,267";"194,570";"16,192";"221,460";"25,289";"223,890";"28,269";"1,011";"1,151";"1,118";"13,827"
267;"225,000";"217,297";"20,544";"199,180";"10,796";"225,420";"16,808";"227,290";"19,315";"1,008";"1,141";"1,149";"21,054"
268;"225,000";"218,867";"16,105";"200,900";"8,875";"226,990";"9,880";"228,710";"10,773";"1,008";"1,138";"1,090";"25,769"
269;"225,000";"218,790";"14,566";"199,690";"5,786";"227,110";"5,232";"229,570";"5,042";"1,011";"1,150";"0,964";"39,679"
270;"226,000";"219,873";"15,182";"199,750";"5,082";"228,980";"5,044";"230,890";"5,568";"1,008";"1,156";"1,104";"45,432"
271;"224,000";"218,843";"15,501";"198,110";"4,245";"229,610";"5,499";"228,810";"5,243";"0,997";"1,155";"0,954";"53,904"
272;"225,000";"217,410";"15,960";"195,680";"3,757";"227,470";"4,433";"229,080";"4,564";"1,007";"1,171";"1,030";"60,969"
273;"226,000";"219,797";"16,392";"198,240";"5,010";"228,860";"6,134";"232,290";"6,361";"1,015";"1,172";"1,037";"46,363"
274;"219,000";"214,177";"14,197";"195,870";"5,941";"222,120";"5,030";"224,540";"6,201";"1,011";"1,146";"1,233";"37,796"
275;"58,000";"56,183";"17,329";"38,250";"11,324";"67,850";"11,775";"62,450";"11,707";"0,920";"1,633";"0,994";"5,515"
276;"62,000";"59,560";"15,952";"42,510";"10,424";"70,920";"10,065";"65,250";"10,067";"0,920";"1,535";"1,000";"6,260"
277;"52,500";"52,600";"16,438";"39,100";"12,573";"63,980";"12,685";"54,720";"13,242";"0,855";"1,399";"1,044";"4,352"
278;"50,000";"49,813";"13,649";"37,820";"8,885";"61,730";"9,692";"49,890";"10,009";"0,808";"1,319";"1,033";"5,615"
279;"62,000";"60,523";"15,461";"46,000";"10,345";"73,470";"10,280";"62,100";"11,107";"0,845";"1,350";"1,081";"6,003"
280;"70,000";"67,823";"15,017";"51,190";"8,467";"79,250";"9,126";"73,030";"9,340";"0,922";"1,427";"1,023";"8,625"
281;"64,500";"63,853";"15,441";"48,790";"9,453";"75,880";"10,142";"66,890";"11,926";"0,882";"1,371";"1,176";"7,076"
282;"56,000";"56,223";"16,398";"44,060";"12,299";"67,720";"13,465";"56,890";"13,913";"0,840";"1,291";"1,033";"4,626"
283;"63,000";"61,283";"16,164";"48,900";"13,638";"71,700";"12,158";"63,250";"13,577";"0,882";"1,293";"1,117";"4,638"
284;"66,000";"64,597";"15,894";"51,370";"12,969";"73,820";"12,745";"68,600";"12,296";"0,929";"1,335";"0,965";"5,290"
285;"63,000";"63,367";"15,057";"54,300";"12,109";"71,430";"13,641";"64,370";"14,112";"0,901";"1,185";"1,035";"5,316"
286;"78,500";"77,890";"16,138";"66,570";"12,892";"87,250";"13,744";"79,850";"14,374";"0,915";"1,199";"1,046";"6,194"
287;"87,000";"86,147";"13,892";"78,280";"15,355";"93,740";"11,344";"86,420";"9,739";"0,922";"1,104";"0,858";"5,628"
288;"93,000";"93,557";"10,475";"92,260";"14,361";"98,600";"6,355";"89,810";"6,434";"0,911";"0,973";"1,012";"6,254"
289;"97,000";"100,100";"18,300";"103,180";"22,481";"103,810";"14,944";"93,310";"14,375";"0,899";"0,904";"0,962";"4,151"
290;"103,000";"114,333";"28,089";"119,450";"30,688";"115,350";"26,324";"108,200";"25,834";"0,938";"0,906";"0,981";"3,526"
291;"123,500";"125,530";"25,779";"130,650";"25,491";"126,120";"24,540";"119,820";"26,126";"0,950";"0,917";"1,065";"4,700"
292;"137,000";"131,203";"18,444";"137,540";"17,074";"131,370";"16,662";"124,700";"19,207";"0,949";"0,907";"1,153";"7,303"
293;"136,000";"137,247";"17,536";"145,190";"13,539";"136,570";"16,365";"129,980";"18,845";"0,952";"0,895";"1,152";"9,601"
294;"142,500";"150,960";"31,807";"158,820";"21,236";"150,480";"32,967";"143,580";"37,160";"0,954";"0,904";"1,127";"6,761"
295;"154,000";"168,403";"38,990";"170,180";"25,622";"171,580";"41,567";"163,450";"46,245";"0,953";"0,960";"1,113";"6,379"
296;"192,500";"177,547";"38,704";"176,240";"25,392";"181,440";"41,472";"174,960";"45,888";"0,964";"0,993";"1,106";"6,890"
297;"175,000";"170,387";"43,202";"169,430";"29,824";"174,070";"46,431";"167,660";"50,319";"0,963";"0,990";"1,084";"5,622"
298;"133,500";"149,913";"39,034";"152,010";"32,369";"153,570";"38,734";"144,160";"44,408";"0,939";"0,948";"1,147";"4,454"
299;"118,500";"128,053";"32,520";"132,940";"28,203";"131,030";"32,755";"120,190";"34,783";"0,917";"0,904";"1,062";"4,262"
300;"42,500";"43,790";"21,583";"28,330";"16,007";"55,400";"19,322";"47,640";"19,476";"0,860";"1,682";"1,008";"2,976"
301;"38,000";"37,237";"20,682";"22,970";"16,214";"48,230";"18,466";"40,510";"18,552";"0,840";"1,764";"1,005";"2,498"
302;"49,000";"50,297";"22,168";"29,670";"14,894";"62,410";"17,278";"58,810";"17,585";"0,942";"1,982";"1,018";"3,948"
303;"56,000";"53,150";"23,627";"34,440";"18,909";"64,050";"19,535";"60,960";"20,140";"0,952";"1,770";"1,031";"3,224"
304;"57,000";"58,017";"23,596";"35,820";"14,642";"71,090";"17,713";"67,140";"19,883";"0,944";"1,874";"1,122";"4,585"
305;"55,000";"58,313";"25,975";"35,180";"15,948";"71,130";"21,123";"68,630";"22,753";"0,965";"1,951";"1,077";"4,303"
306;"65,000";"63,383";"20,552";"41,730";"12,922";"75,960";"13,409";"72,460";"14,523";"0,954";"1,736";"1,083";"5,608"
307;"65,500";"62,767";"23,286";"41,970";"16,899";"75,710";"17,703";"70,620";"19,133";"0,933";"1,683";"1,081";"4,179"
308;"78,000";"72,563";"29,410";"42,610";"20,443";"89,930";"19,292";"85,150";"21,157";"0,947";"1,998";"1,097";"4,165"
309;"76,000";"78,650";"32,969";"46,390";"18,224";"95,630";"25,535";"93,930";"26,726";"0,982";"2,025";"1,047";"5,154"
310;"69,500";"70,367";"29,507";"45,870";"17,709";"83,940";"24,137";"81,290";"28,497";"0,968";"1,772";"1,181";"4,590"
311;"65,500";"61,810";"19,565";"42,610";"16,057";"74,610";"12,649";"68,210";"12,535";"0,914";"1,601";"0,991";"4,248"
312;"71,500";"70,250";"16,648";"54,540";"12,376";"81,310";"12,166";"74,900";"11,813";"0,921";"1,373";"0,971";"6,052"
313;"75,000";"73,810";"13,921";"58,950";"8,856";"84,460";"8,570";"78,020";"8,808";"0,924";"1,323";"1,028";"8,810"
314;"77,000";"76,290";"15,855";"64,170";"12,944";"85,580";"13,029";"79,120";"13,252";"0,925";"1,233";"1,017";"6,113"
315;"82,000";"82,140";"18,704";"80,260";"19,782";"87,970";"17,413";"78,190";"17,374";"0,889";"0,974";"0,998";"3,953"
316;"94,000";"96,350";"20,030";"106,620";"21,006";"96,830";"16,907";"85,600";"15,976";"0,884";"0,803";"0,945";"4,075"
317;"95,000";"98,203";"18,390";"117,630";"12,174";"96,660";"9,613";"80,320";"8,624";"0,831";"0,683";"0,897";"6,598"
318;"93,500";"97,927";"21,175";"121,810";"11,277";"94,530";"10,309";"77,440";"10,488";"0,819";"0,636";"1,017";"6,867"
319;"92,500";"99,960";"22,916";"127,450";"9,988";"94,870";"9,841";"77,560";"9,769";"0,818";"0,609";"0,993";"7,765"
320;"92,000";"99,177";"22,977";"127,280";"10,665";"93,980";"7,916";"76,270";"8,118";"0,812";"0,599";"1,026";"7,151"
321;"95,000";"99,753";"21,272";"125,110";"11,178";"95,580";"7,709";"78,570";"8,002";"0,822";"0,628";"1,038";"7,029"
322;"93,000";"93,710";"20,583";"107,010";"24,322";"94,310";"12,338";"79,810";"12,519";"0,846";"0,746";"1,015";"3,281"
323;"81,000";"79,477";"21,887";"74,660";"25,684";"87,620";"18,753";"76,150";"18,034";"0,869";"1,020";"0,962";"2,965"
324;"76,000";"74,977";"16,145";"66,320";"16,007";"85,210";"13,198";"73,400";"13,017";"0,861";"1,107";"0,986";"4,586"
325;"49,500";"54,283";"34,088";"27,760";"23,025";"71,960";"30,737";"63,130";"30,279";"0,877";"2,274";"0,985";"2,742"
326;"53,000";"53,047";"28,103";"28,600";"19,301";"69,240";"23,085";"61,300";"23,150";"0,885";"2,143";"1,003";"3,176"
327;"70,000";"68,983";"37,494";"35,580";"23,983";"88,410";"30,610";"82,960";"31,888";"0,938";"2,332";"1,042";"3,459"
328;"67,500";"66,117";"36,585";"32,810";"24,134";"83,260";"29,238";"82,280";"30,225";"0,988";"2,508";"1,034";"3,409"
329;"76,000";"76,270";"39,876";"33,470";"20,100";"97,120";"28,961";"98,220";"27,911";"1,011";"2,935";"0,964";"4,886"
